date;Novichok poisonings;Summer food and drink;Tobacco industry;northern ireland;air travel;isPartial
2023-01-01;0;0;0;66;5;False
2023-01-02;0;0;0;83;6;False
2023-01-03;0;0;0;90;4;False
2023-01-04;0;0;1;85;6;False
2023-01-05;1;0;0;81;5;False
2023-01-06;0;0;1;78;5;False
2023-01-07;0;0;0;100;3;False
2023-01-08;0;0;0;73;5;False
2023-01-09;0;1;0;85;3;False
2023-01-10;0;0;0;89;5;False
2023-01-11;0;0;0;82;6;False
2023-01-12;0;0;0;86;5;False
2023-01-13;0;0;0;79;4;False
2023-01-14;0;0;0;67;3;False
2023-01-15;0;0;0;67;4;False
2023-01-16;0;0;0;83;4;False
2023-01-17;0;0;0;88;3;False
2023-01-18;0;0;0;85;5;False
2023-01-19;0;0;1;83;5;False
2023-01-20;0;0;1;74;4;False
2023-01-21;0;0;0;65;4;False
2023-01-22;0;0;1;65;4;False
2023-01-23;0;1;0;88;4;False
2023-01-24;0;0;0;85;3;False
2023-01-25;0;0;0;79;5;False
2023-01-26;0;0;0;80;4;False
2023-01-27;0;0;0;65;3;False
2023-01-28;0;0;0;63;4;False
2023-01-29;0;0;0;64;4;False
2023-01-30;0;0;0;86;6;False
2023-01-31;0;0;0;81;5;False
