date;Kwasi Kwarteng;Public sector cuts;Public finance;Platform games;air travel;isPartial
2023-01-01;6;0;9;27;76;False
2023-01-02;0;8;0;25;90;False
2023-01-03;0;0;15;20;59;False
2023-01-04;9;0;14;21;89;False
2023-01-05;18;0;5;12;73;False
2023-01-06;13;0;0;21;73;False
2023-01-07;10;0;0;22;53;False
2023-01-08;0;0;0;16;84;False
2023-01-09;10;0;8;13;50;False
2023-01-10;14;0;9;29;79;False
2023-01-11;14;0;9;24;90;False
2023-01-12;7;0;8;6;75;False
2023-01-13;0;0;18;18;60;False
2023-01-14;13;0;0;40;56;False
2023-01-15;0;0;12;28;66;False
2023-01-16;22;14;0;22;68;False
2023-01-17;0;0;0;15;56;False
2023-01-18;19;0;0;15;80;False
2023-01-19;8;0;0;5;73;False
2023-01-20;11;0;9;13;59;False
2023-01-21;10;7;0;0;63;False
2023-01-22;12;18;12;24;70;False
2023-01-23;16;7;32;17;72;False
2023-01-24;0;0;11;15;55;False
2023-01-25;15;0;0;17;75;False
2023-01-26;9;0;0;16;68;False
2023-01-27;12;0;8;9;47;False
2023-01-28;13;0;0;23;66;False
2023-01-29;12;0;0;26;60;False
2023-01-30;10;0;8;12;100;False
2023-01-31;8;0;45;7;84;False
