date;Glyndebourne;Corporate sponsorship;Plymouth shooting;vaping;air travel;isPartial
2023-01-01;3;0;0;58;22;False
2023-01-02;9;0;0;77;27;False
2023-01-03;6;8;3;86;17;False
2023-01-04;0;1;0;87;26;False
2023-01-05;3;5;1;76;21;False
2023-01-06;2;0;0;73;22;False
2023-01-07;6;0;1;60;16;False
2023-01-08;5;3;0;73;25;False
2023-01-09;5;0;0;96;15;False
2023-01-10;5;3;0;94;23;False
2023-01-11;4;0;4;80;26;False
2023-01-12;6;0;0;79;22;False
2023-01-13;8;0;0;71;18;False
2023-01-14;0;0;0;61;16;False
2023-01-15;2;0;2;68;19;False
2023-01-16;6;2;0;74;20;False
2023-01-17;8;0;4;81;16;False
2023-01-18;5;0;8;80;24;False
2023-01-19;6;0;6;100;21;False
2023-01-20;3;7;5;75;17;False
2023-01-21;5;3;0;76;19;False
2023-01-22;7;2;2;76;21;False
2023-01-23;0;0;1;82;21;False
2023-01-24;2;2;0;74;16;False
2023-01-25;4;0;0;69;22;False
2023-01-26;2;0;0;81;20;False
2023-01-27;3;0;1;76;14;False
2023-01-28;4;0;0;74;19;False
2023-01-29;7;2;3;75;18;False
2023-01-30;5;0;0;88;29;False
2023-01-31;5;0;3;85;25;False
