date;Philosophy;Industrial policy;Domestic violence;Youth justice;air travel;isPartial
2023-01-01;62;0;23;0;28;False
2023-01-02;73;0;24;3;33;False
2023-01-03;63;0;32;5;22;False
2023-01-04;78;0;26;3;33;False
2023-01-05;88;0;36;5;27;False
2023-01-06;69;0;32;4;27;False
2023-01-07;77;0;22;0;20;False
2023-01-08;83;2;33;0;31;False
2023-01-09;84;2;34;4;18;False
2023-01-10;96;2;37;7;29;False
2023-01-11;77;2;30;4;33;False
2023-01-12;86;0;30;3;27;False
2023-01-13;69;5;39;9;22;False
2023-01-14;56;0;23;5;21;False
2023-01-15;69;0;32;0;24;False
2023-01-16;86;0;32;4;25;False
2023-01-17;76;5;37;6;21;False
2023-01-18;83;3;43;5;30;False
2023-01-19;81;0;34;2;27;False
2023-01-20;69;0;27;3;22;False
2023-01-21;67;0;31;4;23;False
2023-01-22;78;0;33;4;26;False
2023-01-23;100;0;27;5;27;False
2023-01-24;92;0;39;12;20;False
2023-01-25;93;2;38;2;28;False
2023-01-26;80;6;31;3;25;False
2023-01-27;66;0;22;6;17;False
2023-01-28;56;4;22;2;24;False
2023-01-29;64;3;26;0;22;False
2023-01-30;93;0;31;5;37;False
2023-01-31;85;6;24;5;31;False
