date;chatgpt;Industrial action;Stevenage;Personal finance;air travel;isPartial
2023-01-01;16;1;24;1;2;False
2023-01-02;20;1;33;2;3;False
2023-01-03;28;1;21;2;2;False
2023-01-04;32;1;19;2;3;False
2023-01-05;40;1;21;3;2;False
2023-01-06;35;1;19;2;2;False
2023-01-07;28;0;22;1;2;False
2023-01-08;32;1;100;1;3;False
2023-01-09;47;1;32;2;2;False
2023-01-10;55;1;20;2;3;False
2023-01-11;53;1;17;2;3;False
2023-01-12;53;1;20;2;2;False
2023-01-13;51;0;19;2;2;False
2023-01-14;35;0;25;1;2;False
2023-01-15;40;1;21;2;2;False
2023-01-16;51;1;18;3;2;False
2023-01-17;53;1;20;2;2;False
2023-01-18;62;1;18;2;3;False
2023-01-19;59;1;19;2;2;False
2023-01-20;51;1;21;2;2;False
2023-01-21;35;0;32;1;2;False
2023-01-22;37;0;20;2;2;False
2023-01-23;54;2;18;2;2;False
2023-01-24;66;1;19;2;2;False
2023-01-25;61;2;19;2;2;False
2023-01-26;54;2;17;1;2;False
2023-01-27;54;2;20;3;1;False
2023-01-28;37;1;24;1;2;False
2023-01-29;45;0;44;1;2;False
2023-01-30;64;2;18;2;3;False
2023-01-31;61;3;18;3;3;False
