date;Theatre Royal Bath;Diana, Princess of Wales;Glamping;ChatGPT;air travel;isPartial
2023-01-01;1;0;15;25;4;False
2023-01-02;2;0;17;31;4;False
2023-01-03;1;0;12;42;3;False
2023-01-04;1;0;13;48;4;False
2023-01-05;0;0;10;61;3;False
2023-01-06;1;0;18;53;4;False
2023-01-07;1;0;13;43;3;False
2023-01-08;1;0;18;48;4;False
2023-01-09;2;0;14;71;2;False
2023-01-10;1;0;13;83;4;False
2023-01-11;1;0;13;80;4;False
2023-01-12;1;0;13;80;4;False
2023-01-13;1;0;13;78;3;False
2023-01-14;1;0;15;54;3;False
2023-01-15;1;0;18;60;3;False
2023-01-16;1;0;13;77;3;False
2023-01-17;1;0;11;80;3;False
2023-01-18;1;0;11;93;4;False
2023-01-19;1;0;11;89;3;False
2023-01-20;1;0;10;77;3;False
2023-01-21;1;0;13;53;3;False
2023-01-22;1;0;16;56;3;False
2023-01-23;1;0;12;82;3;False
2023-01-24;1;0;12;100;3;False
2023-01-25;1;0;13;93;4;False
2023-01-26;1;0;12;82;3;False
2023-01-27;1;0;12;81;2;False
2023-01-28;1;0;12;57;3;False
2023-01-29;1;0;15;69;3;False
2023-01-30;1;0;13;97;5;False
2023-01-31;1;0;10;92;4;False
