date;Lunar new year;Biodiversity;Alex James;Oleg Deripaska;air travel;isPartial
2023-01-01;0;0;0;0;0;False
2023-01-02;0;0;0;0;0;False
2023-01-03;0;0;0;0;0;False
2023-01-04;0;0;0;0;0;False
2023-01-05;0;0;0;0;0;False
2023-01-06;0;0;0;0;0;False
2023-01-07;0;0;0;0;0;False
2023-01-08;0;0;0;0;0;False
2023-01-09;0;0;0;0;0;False
2023-01-10;0;0;0;0;0;False
2023-01-11;0;0;0;0;0;False
2023-01-12;0;0;0;0;0;False
2023-01-13;0;0;0;0;0;False
2023-01-14;0;0;0;0;0;False
2023-01-15;0;0;0;0;0;False
2023-01-16;1;0;0;0;0;False
2023-01-17;1;0;0;0;0;False
2023-01-18;1;0;0;0;0;False
2023-01-19;1;0;0;0;0;False
2023-01-20;2;0;0;0;0;False
2023-01-21;3;0;0;0;0;False
2023-01-22;100;0;0;0;0;False
2023-01-23;4;0;0;0;0;False
2023-01-24;1;0;0;0;0;False
2023-01-25;1;0;0;0;0;False
2023-01-26;0;0;0;0;0;False
2023-01-27;0;0;0;0;0;False
2023-01-28;0;0;0;0;0;False
2023-01-29;0;0;0;0;0;False
2023-01-30;0;0;0;0;0;False
2023-01-31;0;0;0;0;0;False
