date;Chesterfield;Transport;flybe;Sexual health;air travel;isPartial
2023-01-01;46;35;3;4;3;False
2023-01-02;41;34;3;7;4;False
2023-01-03;37;45;3;11;2;False
2023-01-04;35;45;5;11;4;False
2023-01-05;33;44;4;10;3;False
2023-01-06;38;39;3;10;3;False
2023-01-07;70;31;3;5;2;False
2023-01-08;37;33;4;5;4;False
2023-01-09;35;51;4;10;2;False
2023-01-10;34;44;4;10;3;False
2023-01-11;36;45;3;9;4;False
2023-01-12;34;49;3;10;3;False
2023-01-13;36;45;3;8;2;False
2023-01-14;36;32;3;5;2;False
2023-01-15;33;32;3;6;3;False
2023-01-16;37;43;3;12;3;False
2023-01-17;59;49;3;10;2;False
2023-01-18;37;46;3;10;3;False
2023-01-19;33;43;3;9;3;False
2023-01-20;36;43;4;9;2;False
2023-01-21;43;34;3;5;3;False
2023-01-22;30;37;3;5;3;False
2023-01-23;34;47;5;12;3;False
2023-01-24;39;51;4;11;2;False
2023-01-25;36;46;3;10;3;False
2023-01-26;33;42;2;9;3;False
2023-01-27;35;43;3;9;2;False
2023-01-28;39;32;100;5;3;False
2023-01-29;29;32;18;4;2;False
2023-01-30;33;43;15;12;4;False
2023-01-31;37;47;5;11;3;False
