date;Food banks;Commercial property;Social housing;London School of Economics and Political Science;air travel;isPartial
2022-01-01;7;57;16;0;16;False
2022-01-02;10;63;20;0;30;False
2022-01-03;0;60;12;0;25;False
2022-01-04;11;86;31;0;26;False
2022-01-05;11;90;23;0;37;False
2022-01-06;12;68;37;6;29;False
2022-01-07;14;67;8;0;30;False
2022-01-08;9;61;22;0;34;False
2022-01-09;10;59;14;0;26;False
2022-01-10;13;100;43;0;46;False
2022-01-11;17;83;36;0;38;False
2022-01-12;14;79;28;2;32;False
2022-01-13;13;94;32;0;48;False
2022-01-14;7;67;29;0;40;False
2022-01-15;9;62;16;0;32;False
2022-01-16;5;59;22;0;35;False
2022-01-17;13;95;33;0;31;False
2022-01-18;25;74;29;4;28;False
2022-01-19;17;84;32;2;36;False
2022-01-20;12;86;32;0;26;False
2022-01-21;18;68;30;0;18;False
2022-01-22;13;67;24;0;25;False
2022-01-23;16;71;18;0;33;False
2022-01-24;12;96;31;3;47;False
2022-01-25;12;75;38;0;24;False
2022-01-26;7;85;42;0;31;False
2022-01-27;9;77;39;0;34;False
2022-01-28;11;63;39;0;24;False
2022-01-29;16;58;21;0;29;False
2022-01-30;6;65;13;3;34;False
2022-01-31;15;87;28;0;40;False
