date;coronavirus vaccines;coronavirus pandemic;skip to content;global supply chain management;air travel;isPartial
2022-01-01;0;0;0;6;34;False
2022-01-02;0;0;0;0;63;False
2022-01-03;0;9;7;10;51;False
2022-01-04;15;11;13;0;54;False
2022-01-05;0;0;0;5;77;False
2022-01-06;0;10;0;0;61;False
2022-01-07;0;5;0;0;63;False
2022-01-08;0;10;0;5;71;False
2022-01-09;0;0;0;0;55;False
2022-01-10;7;27;10;0;97;False
2022-01-11;10;12;0;5;79;False
2022-01-12;0;7;0;5;67;False
2022-01-13;0;8;0;0;100;False
2022-01-14;5;22;17;0;84;False
2022-01-15;10;10;0;0;66;False
2022-01-16;10;0;0;11;72;False
2022-01-17;8;0;0;0;65;False
2022-01-18;10;0;0;0;59;False
2022-01-19;0;8;8;0;74;False
2022-01-20;0;0;0;7;54;False
2022-01-21;0;6;0;17;38;False
2022-01-22;0;4;0;0;53;False
2022-01-23;20;0;0;0;69;False
2022-01-24;0;13;0;0;97;False
2022-01-25;0;7;0;0;49;False
2022-01-26;0;11;0;0;64;False
2022-01-27;8;21;0;8;71;False
2022-01-28;0;4;0;0;49;False
2022-01-29;0;6;0;0;60;False
2022-01-30;11;5;0;0;71;False
2022-01-31;0;0;13;0;82;False
