date;Drugs;Opioids crisis;Broadband;BT;air travel;isPartial
2022-01-01;13;0;23;74;1;False
2022-01-02;13;0;25;60;2;False
2022-01-03;13;0;26;59;1;False
2022-01-04;18;0;37;82;1;False
2022-01-05;15;0;35;83;2;False
2022-01-06;16;0;35;80;2;False
2022-01-07;15;0;32;87;2;False
2022-01-08;14;0;29;68;2;False
2022-01-09;15;0;29;62;1;False
2022-01-10;17;0;36;91;2;False
2022-01-11;16;0;34;80;2;False
2022-01-12;15;0;34;84;2;False
2022-01-13;16;0;42;90;3;False
2022-01-14;14;0;32;79;2;False
2022-01-15;15;0;33;86;2;False
2022-01-16;15;0;29;77;2;False
2022-01-17;16;0;37;91;2;False
2022-01-18;17;0;35;98;1;False
2022-01-19;13;0;35;100;2;False
2022-01-20;14;0;37;97;1;False
2022-01-21;14;0;35;89;1;False
2022-01-22;13;0;31;74;1;False
2022-01-23;14;0;27;60;2;False
2022-01-24;18;0;43;89;2;False
2022-01-25;15;0;36;80;1;False
2022-01-26;15;0;38;85;2;False
2022-01-27;15;0;37;78;2;False
2022-01-28;15;0;33;88;1;False
2022-01-29;14;0;34;72;2;False
2022-01-30;14;0;28;58;2;False
2022-01-31;17;0;34;84;2;False
