date;Naz Shah;Substack;Generational inequality;WH Smith;air travel;isPartial
2022-01-01;0;9;0;89;30;False
2022-01-02;5;10;0;100;56;False
2022-01-03;7;16;0;90;46;False
2022-01-04;0;8;0;66;48;False
2022-01-05;0;0;0;68;69;False
2022-01-06;5;17;0;63;55;False
2022-01-07;0;28;0;56;57;False
2022-01-08;0;31;0;73;64;False
2022-01-09;0;27;0;65;49;False
2022-01-10;0;17;0;82;87;False
2022-01-11;0;14;0;78;70;False
2022-01-12;5;10;0;69;60;False
2022-01-13;0;11;0;57;90;False
2022-01-14;0;18;0;51;75;False
2022-01-15;0;13;0;75;59;False
2022-01-16;0;9;0;77;64;False
2022-01-17;0;28;0;65;58;False
2022-01-18;0;15;0;73;53;False
2022-01-19;0;30;0;66;67;False
2022-01-20;11;28;0;41;48;False
2022-01-21;0;17;0;61;34;False
2022-01-22;0;20;0;60;48;False
2022-01-23;0;25;0;58;62;False
2022-01-24;4;21;0;57;87;False
2022-01-25;0;15;0;48;44;False
2022-01-26;6;29;0;43;57;False
2022-01-27;0;17;0;44;64;False
2022-01-28;0;26;0;59;44;False
2022-01-29;0;18;0;49;54;False
2022-01-30;0;27;0;51;64;False
2022-01-31;0;27;0;31;74;False
