date;Voluntary sector;Physics;People in science;Burkina Faso;air travel;isPartial
2022-01-01;0;29;1;1;5;False
2022-01-02;1;43;0;1;8;False
2022-01-03;0;54;1;2;7;False
2022-01-04;0;70;0;1;7;False
2022-01-05;0;72;1;3;10;False
2022-01-06;0;69;1;1;8;False
2022-01-07;1;60;0;3;8;False
2022-01-08;2;60;0;3;10;False
2022-01-09;1;73;0;34;7;False
2022-01-10;1;87;2;5;13;False
2022-01-11;0;80;0;3;11;False
2022-01-12;0;90;1;3;9;False
2022-01-13;0;95;0;9;13;False
2022-01-14;1;64;1;3;11;False
2022-01-15;0;64;0;1;9;False
2022-01-16;0;78;0;2;10;False
2022-01-17;0;83;0;10;9;False
2022-01-18;0;91;0;2;8;False
2022-01-19;1;78;1;3;10;False
2022-01-20;1;74;0;3;7;False
2022-01-21;1;62;0;2;5;False
2022-01-22;0;56;3;3;7;False
2022-01-23;1;75;1;24;9;False
2022-01-24;0;100;1;29;13;False
2022-01-25;1;88;0;12;7;False
2022-01-26;0;83;1;8;9;False
2022-01-27;1;79;0;2;10;False
2022-01-28;1;66;0;2;7;False
2022-01-29;2;50;0;34;8;False
2022-01-30;1;65;0;16;10;False
2022-01-31;0;82;0;6;11;False
