date;UK unemployment and employment statistics;Seattle;Wes Streeting;Simon Birmingham;air travel;isPartial
2022-01-01;0;94;0;4;18;False
2022-01-02;0;97;13;0;42;False
2022-01-03;0;71;8;0;28;False
2022-01-04;0;69;5;7;33;False
2022-01-05;0;62;9;11;50;False
2022-01-06;0;62;0;7;38;False
2022-01-07;0;64;25;0;46;False
2022-01-08;0;74;51;0;40;False
2022-01-09;0;82;45;4;31;False
2022-01-10;0;71;11;4;53;False
2022-01-11;0;73;4;3;41;False
2022-01-12;0;69;12;0;46;False
2022-01-13;0;67;33;4;53;False
2022-01-14;0;65;15;0;51;False
2022-01-15;0;65;13;0;47;False
2022-01-16;0;67;28;0;49;False
2022-01-17;0;48;11;0;35;False
2022-01-18;0;47;0;0;41;False
2022-01-19;0;62;5;0;44;False
2022-01-20;0;49;4;0;25;False
2022-01-21;0;51;11;4;24;False
2022-01-22;0;80;0;0;34;False
2022-01-23;0;100;13;0;43;False
2022-01-24;0;58;0;4;47;False
2022-01-25;0;56;4;0;32;False
2022-01-26;0;68;10;0;41;False
2022-01-27;0;58;0;0;36;False
2022-01-28;0;52;3;0;33;False
2022-01-29;0;58;0;6;25;False
2022-01-30;0;66;10;5;46;False
2022-01-31;0;75;10;0;51;False
