date;wind turbines;dairy farming;wind farms;sexual violence;air travel;isPartial
2022-01-01;6;0;0;9;34;False
2022-01-02;26;5;29;5;63;False
2022-01-03;26;10;0;7;51;False
2022-01-04;24;10;7;0;54;False
2022-01-05;18;0;0;11;77;False
2022-01-06;17;6;0;13;61;False
2022-01-07;6;13;7;10;63;False
2022-01-08;20;4;12;11;71;False
2022-01-09;0;0;5;16;55;False
2022-01-10;23;6;13;8;97;False
2022-01-11;15;14;7;16;79;False
2022-01-12;21;6;20;5;67;False
2022-01-13;19;0;0;20;100;False
2022-01-14;9;0;5;0;84;False
2022-01-15;14;0;0;0;66;False
2022-01-16;10;0;8;0;72;False
2022-01-17;25;12;16;7;65;False
2022-01-18;25;11;12;9;59;False
2022-01-19;14;0;15;6;74;False
2022-01-20;13;7;8;7;54;False
2022-01-21;0;0;11;10;38;False
2022-01-22;22;0;0;8;53;False
2022-01-23;20;0;11;10;69;False
2022-01-24;13;0;6;15;97;False
2022-01-25;18;4;3;9;49;False
2022-01-26;27;0;8;13;64;False
2022-01-27;19;0;0;11;71;False
2022-01-28;25;0;11;9;49;False
2022-01-29;11;0;0;0;60;False
2022-01-30;12;0;0;4;71;False
2022-01-31;6;0;12;9;82;False
