date;public sector;cabinet office;nhs;self-isolation;air travel;isPartial
2022-01-01;0;0;52;0;0;False
2022-01-02;0;0;60;0;0;False
2022-01-03;0;0;72;0;0;False
2022-01-04;0;0;94;0;0;False
2022-01-05;0;0;100;0;1;False
2022-01-06;1;0;79;0;0;False
2022-01-07;0;0;71;0;0;False
2022-01-08;0;0;56;0;0;False
2022-01-09;0;0;62;0;0;False
2022-01-10;0;0;83;0;1;False
2022-01-11;1;0;80;0;1;False
2022-01-12;0;0;71;0;0;False
2022-01-13;0;0;73;0;1;False
2022-01-14;0;0;59;0;1;False
2022-01-15;0;0;53;0;0;False
2022-01-16;0;0;55;0;1;False
2022-01-17;0;0;77;0;0;False
2022-01-18;0;0;78;0;0;False
2022-01-19;1;0;67;0;1;False
2022-01-20;0;0;69;0;0;False
2022-01-21;0;0;61;0;0;False
2022-01-22;0;0;54;0;0;False
2022-01-23;0;0;52;0;0;False
2022-01-24;1;0;83;0;1;False
2022-01-25;0;0;67;0;0;False
2022-01-26;0;0;70;0;0;False
2022-01-27;0;0;66;0;0;False
2022-01-28;0;0;65;0;0;False
2022-01-29;0;0;47;0;0;False
2022-01-30;0;0;46;0;0;False
2022-01-31;0;1;88;0;1;False
