Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;index;Unnamed: 0.1;Unnamed: 0;Title;Date;Authors;Tags;Text;Url;Chat GPT;Category_Match
6181;146;146;146;240;240;Migrant crossings: 2021 marks record year with more than 28,300 people entering UK via English Channel;2022-01-04;[];['migrant crisis', 'migrant crossings'];"Last year saw a record number of migrants entering the UK aboard small boats via the English Channel, latest data suggests.

More than 28,300 people made the treacherous journey in 2021 - triple the number for the year before, according to figures from the Home Office and analysed by the PA news agency.

The figures come as ministers are warned that arrivals will continue and more people will drown in the stretch of sea between France and Britain if the government pursues its current ""dangerous and callous"" immigration plan.

November - the record month for crossings

The highest number of crossings was recorded in November, when at least 6,869 people reached the country, with more than 3,100 of those arriving in the space of six days.

Advertisement

Please use Chrome browser for a more accessible video player 5:43 English Channel deaths: How tragedy unfolded

On 24 November, at least 27 people died when their boat, which was likened to a blow-up pool, sank in the Channel.

During the same month, a new daily record for the number of people reaching British shores aboard small boats was set when 1,185 arrived on Remembrance Day.

In 2020, the highest daily figure was 416 which was recorded in September of that year.

Overall, at least 28,395 people reached the UK aboard small boats in 2021, according to PA analysis.

Government plans to tackle the issue

The yearly figure comes despite the UK government promising millions of pounds to French authorities to tackle the issue and the announcement of a new plan for immigration under the Nationality and Borders Bill.

If passed, the bill, which is currently in the House of Lords for readings, would make knowingly arriving in the UK without permission a criminal offence.

Please use Chrome browser for a more accessible video player 6:26 Patel: 'No quick fix' over Channel crossings

Home Office minister Tom Pursglove MP said: ""Seeking asylum for protection should not involve people asylum shopping country to country, or risking their lives by lining the pockets of criminal gangs to cross the Channel.""

He said the government is ""reforming"" its approach by ""making the tough decisions to end the overt exploitation of our laws and UK taxpayers"".

Mr Pursglove added: ""The public has been crying out for reform for two decades and that's what this government is delivering through our New Plan for Immigration.""

What is the Nationality and Borders Bill, why is it so controversial and what do MPs want to change?

The government 'must wake up'

Tim Naor Hilton, chief executive at Refugee Action, said that the UK government's policy will lead to more deaths in the Dover Strait.

He said: ""People will continue to cross the Channel in flimsy boats, and smugglers will continue to profit, unless ministers open up more routes for refugees to claim asylum here.

""[In November] we saw the deadly result of their strategy of keeping people out rather than keeping people safe, when at least 27 people died near our coast.

Image: A view of a warehouse facility in Dover, Kent, for boats used by migrants

""And yet the government wants to legalise this dangerous and callous policy in its anti-refugee bill, which will only lead to more people drowning. It must wake up and scrap this bill now.""

Clare Moseley, founder of charity Care4Calais which supports refugees living in northern France, said rising numbers of small boat arrivals in Britain reflect a shift away from attempts to cross by lorry.

She said: ""If the government were serious about stopping people smugglers, it would create a safe way for people to claim asylum and put people smugglers out of business once and for all.""

What about the rest of Europe?

Follow the Daily podcast on Apple Podcasts, Google Podcasts, Spotify, Spreaker

Despite the increasing numbers, the UK's small boat arrivals are a fraction of the number of people arriving in Europe.

At least 120,441 people arrived in Europe via the Mediterranean by land and sea in 2021, according to data from the United Nations High Commissioner for Refugees.

At least 1,839 people are estimated to be dead or missing, according to the same data.";https://web.archive.org/web/20220104060852/https://news.sky.com/story/migrant-crossings-2021-marks-record-year-with-more-than-28-300-people-entering-uk-via-english-channel-12508608;environment;politics
6234;200;200;200;312;312;Does England's child protection system need reform?;2022-01-05;[];['child abuse inquiry', 'daily podcast', 'podcasts', 'children', 'social care'];"The deaths of two children, Arthur Labinjo-Hughes and Star Hobson, shocked the nation and led to searching questions about the way child protection services operate in England.

On the Sky News Daily podcast with Dermot Murnaghan, we are joined by Georgia Macqueen Black from the NSPCC and social work expert Professor Ray Jones to ask: how can we make sure this never happens again?

Warning: this episode includes references to child abuse.

Follow the Daily podcast on Apple Podcasts, Google Podcasts, Spotify, Spreaker

Daily podcast team:

Senior podcast producer - Annie Joyce

Podcast producer - Rosie Gillott

Advertisement

Podcast producer - Soila Apparicio

Junior podcast producer - Aishah Rahman

Interviews producer - Alys Bowen

Archive - Simon Windsor

Archive - Nelly Stefanova

Archive - Rob Fellowes";https://web.archive.org/web/20220105060717/http://news.sky.com/story/does-englands-child-protection-system-need-reform-12509115;environment;politics
6233;199;199;199;311;311;Taking covert photos of breastfeeding mothers could lead to two years in jail;2022-01-04;['alix culbertson', '@alixculbertson'];['domestic abuse', 'stella creasy'];"Taking pictures of breastfeeding mothers without their consent could result in a two-year jail sentence under plans to change the law.

The taking of ""non-consensual photographs or video recordings of breastfeeding mothers"" would be made a ""specific"" voyeurism offence in England and Wales, the Ministry of Justice (MoJ) said.

The amendment to the Police, Crime Sentencing and Court Bill was put forward by the government on Tuesday after Labour MP Stella Creasy campaigned for legal reforms after being photographed breastfeeding her then four-month-old baby on a London Overground train near Highbury and Islington.

Those found guilty could face up to two years in prison and would cover situations ""where the motive is to obtain sexual gratification or to cause humiliation, distress or alarm"".

Another amendment to the statute was put forward so domestic abuse victims will be given more time to go to the police.

Advertisement

More: Breastfeeding to be allowed in House of Commons chamber

Image: Victims of domestic abuse could be given more time to report abuse

Ms Creasy welcomed the amendment and said: ""That breastpests can now be stopped is testament to the hard work of campaigner Julia Cooper, Jeff Smith MP, Baroness Helene Hayman and Lord Pannick.

""It also shows why we set up the This Mum Votes Campaign to get more mums into public life - because their experiences matter and when we listen to them in decision making, life gets better for all involved.""

Justice Secretary Dominic Raab said ""no new mum should be harassed in this way"".

He added: ""We are committed to doing everything we can to protect women, make them feel safer, and give them greater confidence in the justice system.""

Creating a specific offence gives ""police and prosecutors the clarity and powers they need to ensure perpetrators face justice"", the MoJ said.

Domestic Abuse Commissioner Nicole Jacobs welcomed the amendment giving domestic abuse victims more time to report assaults.

Image: Yvette Cooper brought the domestic abuse amendment after a constituent was told nothing could be done for her

Currently, the time limit on common assault cases is six months, meaning a prosecution has to be brought to court within six months of the alleged office.

But that could be extended to two years as cases can involve violence or threatening behaviour that leads to fear of attack, with victims reluctant to come forward.

Labour's shadow home secretary Yvette Cooper put forward the amendment last year after a woman in her constituency reported ""repeated domestic abuse but was told she had run out of time and nothing could be done"".

Ms Cooper said: ""We've been putting huge pressure on the government to lift the time limit so I'm glad they have now accepted our proposal to stop victims of domestic abuse being timed out of justice.

""We will keep up the pressure for more action.""

Both plans will now be considered by parliament.";https://web.archive.org/web/20220105060717/http://news.sky.com/story/taking-covert-photos-of-breastfeeding-mothers-could-lead-to-two-years-in-jail-12509210;health;entertainment and culture
6238;204;204;204;317;317;Sheep create vaccine syringe shape in Germany to promote jab;2022-01-05;[];['covid-19', 'germany'];"Sheep create vaccine syringe shape in Germany to promote jab

Germany has comparatively low vaccination rates for Western Europe and so all kinds of innovative images and adverts are being thought of to try and push the importance of getting some protection against COVID.";https://web.archive.org/web/20220105080753/http://news.sky.com/video/sheep-create-vaccine-syringe-shape-in-germany-12509294;science and technology;health
6255;221;221;221;337;337;Meteor spotted soaring over US caught on CCTV;2022-01-05;[];['iowa'];"Meteor spotted soaring over US caught on CCTV

City employee notices celestial phenomenon as he finishes work in the early hours of the morning - and checks CCTV to find it was recorded.";https://web.archive.org/web/20220105130755/http://news.sky.com/video/cctv-meteor-seen-soaring-over-iowa-12509438;science and technology;environment
6422;390;390;390;551;551;Novak Djokovic's 'requests for access to personal chef rejected' as pictures of hotel food emerge;2022-01-08;['connor sephton', '@connorsephton'];['australia', 'covid-19', 'coronavirus', 'novak djokovic'];"Novak Djokovic's requests for access to his personal chef and a tennis court have been rejected by Australian officials, according to reports.

The Australian newspaper reported that the world tennis number one has been denied any ""special treatment"" during his stay in immigration custody.

Djokovic is spending a third day in a Melbourne hotel that has doubled up as an immigration detention facility - a couple of miles from the luxury hotels where most Australian Open players are staying.

He is currently embroiled in a row over whether he is exempt from the country's COVID vaccination rules, and is facing deportation after his visa was cancelled.

Please use Chrome browser for a more accessible video player 2:05 Could Djokovic lose Australian Open before it starts?

Why is Djokovic being denied entry to Australia - and what are their travel rules?

Advertisement

Lawyers representing the 34-year-old are planning to appeal in court on Monday.

A summary of their case has indicated he tested positive for COVID-19 on 16 December and he had a valid visa and medical exemption from the organiser of the Australian Open.

He has also requested alternative accommodation so he could train for the tournament which starts on 17 January.

Djokovic, who has expressed scepticism about coronavirus vaccines in the past, wrote on Instagram yesterday: ""Thank you to the people around the world for your continuous support. I can feel it and it is greatly appreciated.""

The furore meant the Serbian tennis star was unable to celebrate Orthodox Christmas on Friday - an important religious holiday.

A priest from the Holy Trinity Serbian Orthodox Church in Melbourne had attempted to visit Djokovic, but was turned down by immigration officials because the hotel is under lockdown.

Supporters of the nine-time Australian Open champion have gathered outside the Park Hotel, waving banners as he remains cooped up inside.

Please use Chrome browser for a more accessible video player 0:46 Novak's mum: 'It's a very difficult time'

'Maggots and mould in our bread'

About 30 asylum seekers are being housed one floor above Djokovic in the Park Hotel - and some of them have been held there for two years.

They were moved to Melbourne after being evacuated for medical treatment from Australia's controversial detention centres in Papua New Guinea and Nauru.

Even before Djokovic's arrival, the hotel had hit headlines amid allegations that maggots and mould were in the bread given to detainees.

Pls pay attention.

Urgent-see this food with Maggots

It was delivered at 5.30pm tonight as evening meal at Park prison for 34 men.

Even guards agreed not edible-took it away.

Now men have no dinner.

Detained for 2yrs,now in rooms on level2, now maggots in food!#GameOver pic.twitter.com/ar5jFv7zlI — Joy (@mohammedJoy73) December 27, 2021

Hossein Latifi told the Reuters news agency: ""We are stuck in our room. There is no fresh air. We don't have any place for training. There is no gym here. It's very hard.""

The 32-year-old, who is originally from Iran, added: ""We are refugees, we are innocent people - we've not committed any crime. They just keep me like hostage here.""

The third and fourth floors of the Park Hotel were damaged by fire on 23 December - and during an evacuation, some asylum seekers ended up becoming infected with COVID because they were held together with quarantining passengers who had tested positive.

Image: Even some of those who have criticised the star in the past for his remarks on vaccines have spoken out against the way he is being treated. Pic: AP

'Challenging weeks' ahead

Daily numbers of coronavirus infections in Australia are repeatedly breaking records as the Omicron variant spreads.

An unprecedented 45,098 new infections were reported in New South Wales, the country's most populous state, on Saturday - up from 38,625 the day before.

The surge has prompted New South Wales to reintroduce some restrictions, with dancing and singing in pubs and nightclubs now prohibited.

Health officials in the state believe cases may only peak at the end of January, warning: ""We have got some challenging weeks ahead of us. But we have been planning for this pandemic and continuing to reinvent ourselves for two years now.""

Image: Djokovic's message to supporters on Instagram

Tennis rivals criticise Djokovic's treatment

Even some of those who have criticised the star in the past for his remarks on vaccines have spoken out against the way he is being treated.

Nick Kyrgios - an Australian player who called Djokovic a ""tool"" after he requested quarantine rules to be relaxed last year - tweeted: ""Look, I definitely believe in taking action, I got vaccinated because of others and for my mum's health, but how we are handling Novak's situation is bad, really bad.

""This is one of our great champions but at the end of the day, he is human. Do better.""";https://web.archive.org/web/20220108082252/https://news.sky.com/story/novak-djokovics-requests-for-access-to-personal-chef-rejected-as-pictures-of-hotel-food-emerge-12511403;sports;health
6466;434;434;434;612;612;West Drayton stabbing: Harley-Dee Thompson charged with murder and 13-year-old released on bail after death of Dariusz Wolosz;2022-01-09;[];['knife crime', 'london'];"A man has been charged with murder after a 46-year-old was stabbed to death in west London.

Harley-Dee Thompson, 27, is set to appear at Wimbledon Magistrates' Court on Monday accused of killing Dariusz Wolosz.

He also faces a charge of possessing an offensive weapon in relation to the fatal attack on Tuesday.

Image: Dariusz Wolosz. Pic: Met Police

A 13-year-old boy, who was arrested on suspicion of murder last week in connection with the incident has been released on bail to a date in February.

Officers believe Mr Wolosz, a Polish national, was attacked following a row with a group of males on Tavistock Road in West Drayton.

Advertisement

Police were called to reports of an injured man on High Street in Yiewsley but despite the best efforts of emergency services, he was pronounced dead at the scene.

A post-mortem examination gave the cause of death as stab wounds to the groin and chest.

Mr Wolosz's family are said to be ""distraught"" as homicide detectives from the Met's Specialist Crime Command continue to investigate.";https://web.archive.org/web/20220109210707/http://news.sky.com/story/west-drayton-stabbing-harley-dee-thompson-charged-with-murder-and-13-year-old-released-on-bail-after-death-of-dariusz-wolosz-12512623;sports;politics
6512;482;482;482;680;680;Boris Johnson dodges question on whether he attended Downing Street party during lockdown;2022-01-10;[];['covid-19'];"Boris Johnson dodges question on whether he attended Downing Street party during lockdown

A leaked email has emerged from Martin Reynolds - a key aide to Boris Johnson - inviting staff to ""make the most of the lovely weather"" with ""some socially distanced drinks"".";https://web.archive.org/web/20220110212111/https://news.sky.com/video/boris-johnson-dodges-question-on-whether-he-attended-downing-street-party-during-lockdown-12513317;politics;health
6536;506;506;506;709;709;Has the Djokovic row exposed a vaccine problem in sport?;2022-01-11;[];['covid-19', 'daily podcast', 'novak djokovic', 'podcasts', 'vaccination', 'tennis'];"Novak Djokovic’s deportation battle with the Australian government has brought the vaccine status of professional athletes into focus.

On the Sky News Daily podcast with Ashna Hurynag, we are joined by sports psychologist James Rumbold, former chair of England's FA Greg Dyke, and our sport correspondent, Tom Parmenter, to discuss how vaccine hesitancy amongst athletes can be tackled.

Subscribe to the Daily podcast on Apple Podcasts, Google Podcasts, Spotify, Spreaker

Daily podcast team:

Senior podcast producer - Annie Joyce

Podcast producer - Rosie Gillott Podcast producer - Soila Apparicio

Junior podcast producer - Aishah Rahman

Interviews producer - Alys Bowen

Archive - Simon Windsor

Archive - Nelly Stefanova

Archive - Rob Fellowes";https://web.archive.org/web/20220111070730/http://news.sky.com/story/has-the-djokovic-row-exposed-a-vaccine-problem-in-sport-12513342;science and technology;sports
6544;514;514;514;717;717;Ghislaine Maxwell prosecutors will drop perjury charges if there's no retrial in sex trafficking case;2022-01-11;[];['ghislaine maxwell', 'jeffrey epstein'];"Two perjury charges against Ghislaine Maxwell will be dropped if her conviction for aiding Jeffrey Epstein's sexual abuse is allowed to stand.

The charges are set to be the subject of a separate trial but prosecutors said scrapping the case would help victims get ""closure"" and avoid the ""trauma of testifying again"".

The offer to dismiss the charges came in a letter on Monday night to District Judge Alison Nathan.

Maxwell is alleged to have lied about her knowledge of Epstein's behaviour in a separate civil lawsuit in 2016. Each charge carries a maximum five-year jail sentence.

Maxwell, 60, was found guilty last month of trafficking underage girls to be sexually abused by Jeffrey Epstein and faces up to 65 years in jail.

Advertisement

She was accused of recruiting and grooming four teenagers for Epstein to molest in massage rooms between 1994 and 2004 at his various properties.

In the letter, prosecutors also asked the judge to sentence Maxwell in about three to four months' time.

Defence lawyers oppose laying down any timetable as they have called for a retrial in the main case after two jurors who convicted her said they were sexually abused.

'Incontrovertible grounds for new trial'

They told Judge Nathan that the issue ""presents incontrovertible grounds for a new trial"".

Maxwell's lawyer's have been given until 19 January to formally explain their grounds for overturning the conviction. Prosecutors will have until 2 February to respond.

Epstein, an American financier, was found dead in his cell in New York in August 2019, with the medical examiner concluding it was suicide.";https://web.archive.org/web/20220111093226/https://news.sky.com/story/ghislaine-maxwell-prosecutors-will-drop-perjury-charges-if-theres-no-retrial-in-sexual-trafficking-case-12513439;health;entertainment and culture
