;cdx_url
0;https://web.archive.org/web/20220101000056/http://bbc.com/
1;https://web.archive.org/web/20220101000057/https://www.bbc.com/
2;https://web.archive.org/web/20220101001514/http://www.bbc.com/
3;https://web.archive.org/web/20220101001514/https://www.bbc.com/
4;https://web.archive.org/web/20220101005413/http://www.bbc.com/
5;https://web.archive.org/web/20220101005414/https://www.bbc.com/
6;https://web.archive.org/web/20220101011528/http://www.bbc.com/
7;https://web.archive.org/web/20220101011528/https://www.bbc.com/
8;https://web.archive.org/web/20220101020710/https://www.bbc.com/
9;https://web.archive.org/web/20220101021538/http://www.bbc.com/
10;https://web.archive.org/web/20220101021538/https://www.bbc.com/
11;https://web.archive.org/web/20220101023529/https://www.bbc.com/
12;https://web.archive.org/web/20220101031531/http://www.bbc.com/
13;https://web.archive.org/web/20220101031531/https://www.bbc.com/
14;https://web.archive.org/web/20220101033757/https://www.bbc.com/
15;https://web.archive.org/web/20220101040804/https://www.bbc.com/
16;https://web.archive.org/web/20220101041541/http://www.bbc.com/
17;https://web.archive.org/web/20220101041541/https://www.bbc.com/
18;https://web.archive.org/web/20220101042418/http://bbc.com/
19;https://web.archive.org/web/20220101042419/http://www.bbc.com/
20;https://web.archive.org/web/20220101044805/https://www.bbc.com/
21;https://web.archive.org/web/20220101045530/https://www.bbc.com/
22;https://web.archive.org/web/20220101051519/http://www.bbc.com/
23;https://web.archive.org/web/20220101051519/https://www.bbc.com/
24;https://web.archive.org/web/20220101051924/http://bbc.com/
25;https://web.archive.org/web/20220101052003/https://www.bbc.com/
26;https://web.archive.org/web/20220101053038/https://www.bbc.com/
27;https://web.archive.org/web/20220101053634/http://www.bbc.com/
28;https://web.archive.org/web/20220101061510/https://www.bbc.com/
29;https://web.archive.org/web/20220101071712/http://www.bbc.com/
30;https://web.archive.org/web/20220101071712/https://www.bbc.com/
31;https://web.archive.org/web/20220101081526/http://www.bbc.com/
32;https://web.archive.org/web/20220101081526/https://www.bbc.com/
33;https://web.archive.org/web/20220101084826/http://bbc.com/
34;https://web.archive.org/web/20220101091639/http://www.bbc.com/
35;https://web.archive.org/web/20220101091639/https://www.bbc.com/
36;https://web.archive.org/web/20220101101506/http://www.bbc.com/
37;https://web.archive.org/web/20220101101506/https://www.bbc.com/
38;https://web.archive.org/web/20220101102720/http://bbc.com/
39;https://web.archive.org/web/20220101102757/https://www.bbc.com/
40;https://web.archive.org/web/20220101105957/https://www.bbc.com/
41;https://web.archive.org/web/20220101110500/https://www.bbc.com/
42;https://web.archive.org/web/20220101111527/http://www.bbc.com/
43;https://web.archive.org/web/20220101111527/https://www.bbc.com/
44;https://web.archive.org/web/20220101114153/https://www.bbc.com/
45;https://web.archive.org/web/20220101120844/https://www.bbc.com/
46;https://web.archive.org/web/20220101121511/http://www.bbc.com/
47;https://web.archive.org/web/20220101121511/https://www.bbc.com/
48;https://web.archive.org/web/20220101122458/https://www.bbc.com/
49;https://web.archive.org/web/20220101131223/https://www.bbc.com/
50;https://web.archive.org/web/20220101131531/http://www.bbc.com/
51;https://web.archive.org/web/20220101131531/https://www.bbc.com/
52;https://web.archive.org/web/20220101135157/https://www.bbc.com/
53;https://web.archive.org/web/20220101135246/https://www.bbc.com/
54;https://web.archive.org/web/20220101135326/https://bbc.com/
55;https://web.archive.org/web/20220101135401/http://www.bbc.com/
56;https://web.archive.org/web/20220101141558/https://www.bbc.com/
57;https://web.archive.org/web/20220101151555/http://www.bbc.com/
58;https://web.archive.org/web/20220101151555/https://www.bbc.com/
59;https://web.archive.org/web/20220101153703/https://www.bbc.com/
60;https://web.archive.org/web/20220101161206/https://www.bbc.com/
61;https://web.archive.org/web/20220101161514/http://www.bbc.com/
62;https://web.archive.org/web/20220101161514/https://www.bbc.com/
63;https://web.archive.org/web/20220101165126/https://www.bbc.com/
64;https://web.archive.org/web/20220101165631/https://www.bbc.com/
65;https://web.archive.org/web/20220101170144/https://www.bbc.com/
66;https://web.archive.org/web/20220101171507/http://www.bbc.com/
67;https://web.archive.org/web/20220101171507/https://www.bbc.com/
68;https://web.archive.org/web/20220101174452/http://bbc.com/
69;https://web.archive.org/web/20220101174456/https://www.bbc.com/
70;https://web.archive.org/web/20220101174654/http://www.bbc.com/
71;https://web.archive.org/web/20220101181513/https://www.bbc.com/
72;https://web.archive.org/web/20220101182012/http://www.bbc.com/
73;https://web.archive.org/web/20220101183415/https://www.bbc.com/
74;https://web.archive.org/web/20220101184503/https://www.bbc.com/
75;https://web.archive.org/web/20220101185510/https://www.bbc.com/
76;https://web.archive.org/web/20220101191645/http://www.bbc.com/
77;https://web.archive.org/web/20220101191645/https://www.bbc.com/
78;https://web.archive.org/web/20220101194443/https://www.bbc.com/
79;https://web.archive.org/web/20220101195101/http://bbc.com/
80;https://web.archive.org/web/20220101201537/http://www.bbc.com/
81;https://web.archive.org/web/20220101201537/https://www.bbc.com/
82;https://web.archive.org/web/20220101203834/https://www.bbc.com/
83;https://web.archive.org/web/20220101205838/https://www.bbc.com/
84;https://web.archive.org/web/20220101211528/http://www.bbc.com/
85;https://web.archive.org/web/20220101211528/https://www.bbc.com/
86;https://web.archive.org/web/20220101221522/http://www.bbc.com/
87;https://web.archive.org/web/20220101221522/https://www.bbc.com/
88;https://web.archive.org/web/20220101222443/https://www.bbc.com/
89;https://web.archive.org/web/20220101231514/http://www.bbc.com/
90;https://web.archive.org/web/20220101231514/https://www.bbc.com/
91;https://web.archive.org/web/20220101232145/https://www.bbc.com/
92;https://web.archive.org/web/20220101234157/https://www.bbc.com/
93;https://web.archive.org/web/20220101234439/http://bbc.com/
94;https://web.archive.org/web/20220101235516/http://www.bbc.com/
95;https://web.archive.org/web/20220101235517/https://www.bbc.com/
96;https://web.archive.org/web/20220102001530/http://www.bbc.com/
97;https://web.archive.org/web/20220102001530/https://www.bbc.com/
98;https://web.archive.org/web/20220102010043/https://www.bbc.com/
99;https://web.archive.org/web/20220102011512/http://www.bbc.com/
100;https://web.archive.org/web/20220102011512/https://www.bbc.com/
101;https://web.archive.org/web/20220102021526/http://www.bbc.com/
102;https://web.archive.org/web/20220102021526/https://www.bbc.com/
103;https://web.archive.org/web/20220102031523/http://www.bbc.com/
104;https://web.archive.org/web/20220102031523/https://www.bbc.com/
105;https://web.archive.org/web/20220102032229/https://www.bbc.com/
106;https://web.archive.org/web/20220102041524/http://www.bbc.com/
107;https://web.archive.org/web/20220102041524/https://www.bbc.com/
108;https://web.archive.org/web/20220102051546/http://www.bbc.com/
109;https://web.archive.org/web/20220102051547/https://www.bbc.com/
110;https://web.archive.org/web/20220102053836/https://www.bbc.com/
111;https://web.archive.org/web/20220102060814/https://www.bbc.com/
112;https://web.archive.org/web/20220102061531/http://www.bbc.com/
113;https://web.archive.org/web/20220102061531/https://www.bbc.com/
114;https://web.archive.org/web/20220102065252/https://www.bbc.com/
115;https://web.archive.org/web/20220102065832/http://www.bbc.com/
116;https://web.archive.org/web/20220102071216/http://bbc.com/
117;https://web.archive.org/web/20220102071525/http://www.bbc.com/
118;https://web.archive.org/web/20220102071525/https://www.bbc.com/
119;https://web.archive.org/web/20220102073317/https://www.bbc.com/
120;https://web.archive.org/web/20220102075046/https://www.bbc.com/
121;https://web.archive.org/web/20220102081714/http://www.bbc.com/
122;https://web.archive.org/web/20220102081715/https://www.bbc.com/
123;https://web.archive.org/web/20220102081829/http://www.bbc.com/
124;https://web.archive.org/web/20220102081830/https://www.bbc.com/
125;https://web.archive.org/web/20220102091508/http://www.bbc.com/
126;https://web.archive.org/web/20220102091508/https://www.bbc.com/
127;https://web.archive.org/web/20220102094052/https://www.bbc.com/
128;https://web.archive.org/web/20220102100506/http://bbc.com/
129;https://web.archive.org/web/20220102101510/http://www.bbc.com/
130;https://web.archive.org/web/20220102101510/https://www.bbc.com/
131;https://web.archive.org/web/20220102103516/https://www.bbc.com/
132;https://web.archive.org/web/20220102103836/http://bbc.com/
133;https://web.archive.org/web/20220102111547/http://www.bbc.com/
134;https://web.archive.org/web/20220102111547/https://www.bbc.com/
135;https://web.archive.org/web/20220102111622/https://www.bbc.com/
136;https://web.archive.org/web/20220102112452/https://www.bbc.com/
137;https://web.archive.org/web/20220102115129/https://www.bbc.com/
138;https://web.archive.org/web/20220102121524/http://www.bbc.com/
139;https://web.archive.org/web/20220102121524/https://www.bbc.com/
140;https://web.archive.org/web/20220102131513/http://www.bbc.com/
141;https://web.archive.org/web/20220102131514/https://www.bbc.com/
142;https://web.archive.org/web/20220102133102/https://www.bbc.com/
