date;Drugs policy;ITV;Omicron variant;PMQs;air travel;isPartial
2023-01-01;0;53;0;0;2;False
2023-01-02;0;53;0;0;2;False
2023-01-03;0;44;0;0;1;False
2023-01-04;0;43;0;2;2;False
2023-01-05;0;42;0;0;2;False
2023-01-06;0;58;0;0;2;False
2023-01-07;0;64;0;0;1;False
2023-01-08;0;100;0;0;2;False
2023-01-09;0;67;0;0;1;False
2023-01-10;0;46;0;0;2;False
2023-01-11;0;42;0;3;2;False
2023-01-12;0;39;0;1;2;False
2023-01-13;0;37;0;0;1;False
2023-01-14;0;44;0;0;1;False
2023-01-15;0;44;0;0;1;False
2023-01-16;0;82;0;0;2;False
2023-01-17;0;68;0;0;1;False
2023-01-18;0;60;0;3;2;False
2023-01-19;0;49;0;0;2;False
2023-01-20;0;51;0;0;1;False
2023-01-21;0;61;0;0;1;False
2023-01-22;0;53;0;0;2;False
2023-01-23;0;50;0;0;2;False
2023-01-24;0;51;0;0;1;False
2023-01-25;0;46;0;5;2;False
2023-01-26;0;45;0;1;1;False
2023-01-27;0;66;0;0;1;False
2023-01-28;0;62;0;0;1;False
2023-01-29;0;63;0;0;1;False
2023-01-30;0;54;0;0;2;False
2023-01-31;0;50;0;0;2;False
