date;Generational inequality;Ottessa Moshfegh;Awards and prizes;University of Surrey;air travel;isPartial
2023-01-01;0;16;0;23;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;0;8;0;21;59;False
2023-01-04;0;0;0;53;89;False
2023-01-05;0;18;0;29;73;False
2023-01-06;0;15;0;49;73;False
2023-01-07;0;0;0;24;53;False
2023-01-08;0;0;0;39;84;False
2023-01-09;0;10;6;48;50;False
2023-01-10;0;0;5;38;79;False
2023-01-11;0;7;0;30;90;False
2023-01-12;0;0;0;55;75;False
2023-01-13;0;15;0;39;60;False
2023-01-14;0;0;0;24;56;False
2023-01-15;0;0;0;11;66;False
2023-01-16;0;6;0;38;68;False
2023-01-17;0;5;0;48;56;False
2023-01-18;0;7;0;48;80;False
2023-01-19;0;0;5;18;73;False
2023-01-20;0;0;0;29;59;False
2023-01-21;0;0;10;26;63;False
2023-01-22;0;5;5;27;70;False
2023-01-23;0;15;0;48;72;False
2023-01-24;0;5;0;40;55;False
2023-01-25;0;0;0;23;75;False
2023-01-26;0;0;0;35;68;False
2023-01-27;0;5;0;27;47;False
2023-01-28;0;0;0;22;66;False
2023-01-29;0;0;0;10;60;False
2023-01-30;0;0;0;39;100;False
2023-01-31;0;0;0;7;84;False
