date;Press releases 2023;Kyriakos Mitsotakis;US healthcare;Berlin Philharmonic;air travel;isPartial
2023-01-01;0;0;0;0;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;0;0;0;0;59;False
2023-01-04;0;0;0;6;89;False
2023-01-05;0;19;0;8;73;False
2023-01-06;0;0;0;9;73;False
2023-01-07;0;5;8;5;53;False
2023-01-08;0;0;6;22;84;False
2023-01-09;0;0;19;0;50;False
2023-01-10;0;0;6;0;79;False
2023-01-11;0;0;9;17;90;False
2023-01-12;0;5;0;10;75;False
2023-01-13;0;11;7;8;60;False
2023-01-14;0;5;0;0;56;False
2023-01-15;0;7;0;0;66;False
2023-01-16;0;0;12;6;68;False
2023-01-17;0;0;0;0;56;False
2023-01-18;0;0;10;8;80;False
2023-01-19;0;0;21;0;73;False
2023-01-20;0;0;9;0;59;False
2023-01-21;0;6;0;0;63;False
2023-01-22;0;5;8;0;70;False
2023-01-23;0;0;0;6;72;False
2023-01-24;0;0;11;15;55;False
2023-01-25;0;0;7;0;75;False
2023-01-26;0;0;12;0;68;False
2023-01-27;0;0;6;0;47;False
2023-01-28;0;5;0;17;66;False
2023-01-29;0;0;13;0;60;False
2023-01-30;0;6;19;10;100;False
2023-01-31;0;6;9;0;84;False
