date;democratic republic of congo;Islamic State;Energy industry;Mozambique;air travel;isPartial
2023-01-01;0;8;8;35;76;False
2023-01-02;0;24;0;25;90;False
2023-01-03;0;0;13;40;59;False
2023-01-04;10;11;5;41;89;False
2023-01-05;0;0;8;30;73;False
2023-01-06;0;20;11;37;73;False
2023-01-07;8;0;0;16;53;False
2023-01-08;0;6;24;34;84;False
2023-01-09;16;6;23;34;50;False
2023-01-10;8;5;15;37;79;False
2023-01-11;8;5;13;54;90;False
2023-01-12;13;13;10;29;75;False
2023-01-13;11;0;24;30;60;False
2023-01-14;0;0;0;29;56;False
2023-01-15;22;0;0;20;66;False
2023-01-16;12;6;9;43;68;False
2023-01-17;26;0;21;61;56;False
2023-01-18;8;13;0;35;80;False
2023-01-19;0;10;16;44;73;False
2023-01-20;0;7;18;29;59;False
2023-01-21;6;0;0;75;63;False
2023-01-22;32;8;0;37;70;False
2023-01-23;0;0;15;20;72;False
2023-01-24;6;0;0;40;55;False
2023-01-25;5;5;10;31;75;False
2023-01-26;0;0;15;42;68;False
2023-01-27;0;23;31;17;47;False
2023-01-28;13;19;6;43;66;False
2023-01-29;0;0;0;32;60;False
2023-01-30;11;11;11;46;100;False
2023-01-31;17;0;12;27;84;False
