date;Serbia;Social exclusion;The far right;Pilates;air travel;isPartial
2023-01-01;13;0;1;75;11;False
2023-01-02;13;0;0;91;13;False
2023-01-03;15;1;0;83;8;False
2023-01-04;14;2;2;82;13;False
2023-01-05;14;0;1;100;10;False
2023-01-06;14;1;2;69;10;False
2023-01-07;16;1;1;70;8;False
2023-01-08;15;0;1;96;12;False
2023-01-09;14;1;0;77;7;False
2023-01-10;13;1;0;84;11;False
2023-01-11;12;0;0;75;13;False
2023-01-12;12;0;0;75;11;False
2023-01-13;11;2;0;60;8;False
2023-01-14;11;0;0;77;8;False
2023-01-15;8;1;2;85;9;False
2023-01-16;12;1;0;86;10;False
2023-01-17;10;1;2;70;8;False
2023-01-18;13;0;0;72;11;False
2023-01-19;15;0;0;67;10;False
2023-01-20;18;0;3;64;8;False
2023-01-21;14;0;0;75;9;False
2023-01-22;7;0;0;80;10;False
2023-01-23;16;0;2;79;10;False
2023-01-24;13;0;1;75;8;False
2023-01-25;16;0;2;66;11;False
2023-01-26;35;0;1;68;10;False
2023-01-27;15;1;0;53;7;False
2023-01-28;11;1;0;61;9;False
2023-01-29;18;0;2;75;9;False
2023-01-30;15;1;0;81;14;False
2023-01-31;14;1;0;82;12;False
