date;GPs;Mazher Mahmood;Bournemouth Symphony Orchestra;Assisted dying;air travel;isPartial
2023-01-01;83;2;0;4;22;False
2023-01-02;93;2;0;5;26;False
2023-01-03;97;0;0;5;17;False
2023-01-04;94;2;0;2;26;False
2023-01-05;86;0;4;4;21;False
2023-01-06;80;0;0;4;21;False
2023-01-07;86;0;0;8;15;False
2023-01-08;95;0;0;0;24;False
2023-01-09;93;0;0;4;14;False
2023-01-10;96;0;0;3;23;False
2023-01-11;83;0;2;0;26;False
2023-01-12;89;0;1;3;22;False
2023-01-13;84;0;0;0;17;False
2023-01-14;76;0;0;3;16;False
2023-01-15;86;4;0;3;19;False
2023-01-16;90;3;0;5;20;False
2023-01-17;91;2;0;2;16;False
2023-01-18;85;0;0;0;23;False
2023-01-19;88;0;0;6;21;False
2023-01-20;80;0;0;6;17;False
2023-01-21;90;0;0;0;18;False
2023-01-22;75;5;0;2;20;False
2023-01-23;90;0;0;2;21;False
2023-01-24;84;0;0;0;16;False
2023-01-25;88;2;2;4;22;False
2023-01-26;73;0;0;0;20;False
2023-01-27;82;0;0;2;14;False
2023-01-28;100;0;2;2;19;False
2023-01-29;83;0;2;4;17;False
2023-01-30;85;0;0;0;29;False
2023-01-31;90;0;0;3;24;False
