date;Nicholas Hoult;Thérèse Coffey;Civil rights movement;myanmar;air travel;isPartial
2023-01-01;8;0;0;30;35;False
2023-01-02;5;0;0;23;42;False
2023-01-03;3;0;8;27;27;False
2023-01-04;5;0;6;31;41;False
2023-01-05;12;0;5;16;34;False
2023-01-06;16;0;10;23;34;False
2023-01-07;16;0;7;18;25;False
2023-01-08;11;6;4;11;39;False
2023-01-09;14;4;12;24;23;False
2023-01-10;8;0;11;22;36;False
2023-01-11;12;0;0;28;41;False
2023-01-12;20;0;5;33;34;False
2023-01-13;17;0;5;23;28;False
2023-01-14;15;0;0;18;26;False
2023-01-15;20;0;7;18;30;False
2023-01-16;14;0;9;30;32;False
2023-01-17;8;0;0;31;26;False
2023-01-18;19;0;4;100;37;False
2023-01-19;2;0;0;33;34;False
2023-01-20;15;0;5;36;27;False
2023-01-21;16;0;0;28;29;False
2023-01-22;17;2;6;22;32;False
2023-01-23;7;0;6;30;33;False
2023-01-24;3;3;6;56;25;False
2023-01-25;8;0;5;42;35;False
2023-01-26;0;0;0;22;31;False
2023-01-27;10;0;0;27;22;False
2023-01-28;12;0;3;23;30;False
2023-01-29;0;4;0;19;28;False
2023-01-30;7;0;10;30;46;False
2023-01-31;6;0;3;30;39;False
