date;Essendon;Healthcare industry;Snacks;US national security;air travel;isPartial
2023-01-01;2;0;61;0;17;False
2023-01-02;0;0;100;1;20;False
2023-01-03;0;0;89;2;13;False
2023-01-04;0;0;82;0;19;False
2023-01-05;3;0;78;0;16;False
2023-01-06;0;1;70;0;16;False
2023-01-07;1;0;69;2;12;False
2023-01-08;0;2;86;0;18;False
2023-01-09;2;1;79;3;11;False
2023-01-10;1;1;87;0;17;False
2023-01-11;0;0;79;1;20;False
2023-01-12;0;0;73;2;16;False
2023-01-13;0;0;68;0;13;False
2023-01-14;0;0;67;1;12;False
2023-01-15;1;0;80;0;14;False
2023-01-16;4;0;73;0;15;False
2023-01-17;0;0;70;0;12;False
2023-01-18;1;2;79;2;18;False
2023-01-19;0;0;72;0;16;False
2023-01-20;4;0;70;0;13;False
2023-01-21;0;0;69;0;14;False
2023-01-22;0;0;83;0;15;False
2023-01-23;3;2;76;0;16;False
2023-01-24;1;2;75;0;12;False
2023-01-25;0;0;70;0;16;False
2023-01-26;3;0;69;0;15;False
2023-01-27;4;2;63;0;10;False
2023-01-28;2;0;67;0;14;False
2023-01-29;0;1;68;0;13;False
2023-01-30;0;2;81;0;22;False
2023-01-31;0;0;66;1;18;False
